ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,31.4988,n,0,1.0928,0,0,0,2,1,umlaut,word,w,S,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,w,1,0.814,0,1,1,3,1,doppleganger,word,w,SS,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,w,1,0.5973,0,2,2,4,1,custard,word,w,S,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,n,1,0.8311,0,3,3,7,1,imleit,nonword,n,SS,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,n,1,1.2137,0,4,4,9,1,casterd,nonword,n,SS,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,w,1,0.688,0,5,5,1,1,house,word,w,SS,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,n,1,0.8482,0,6,6,6,1,haise,nonword,n,S,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,w,1,0.6688,0,7,7,0,1,dog,word,w,S,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,n,1,0.6835,0,8,8,8,1,dipplagungor,nonword,n,S,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,n,1,0.6741,0,9,9,5,1,deg,nonword,n,SS,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,,,,,,
,,w,0,0.6155,,,,,,robuttel,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,0,0,116,1,2
,,n,1,0.7219,,,,,,essaduoas,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,1,1,60,1,1
,,n,0,0.7679,,,,,,chancels,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,2,2,27,1,1
,,n,1,0.6248,,,,,,frageloty,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,3,3,103,1,2
,,w,1,0.7335,,,,,,scientific,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,4,4,33,1,86
,,n,1,0.6071,,,,,,theostoc,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,5,5,118,1,1
,,n,1,0.6499,,,,,,iducetuon,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,6,6,67,1,214
,,w,1,0.6314,,,,,,lawyer,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,7,7,1,1,43
,,w,1,0.8538,,,,,,amicable,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,8,8,52,1,1
,,n,1,0.6759,,,,,,erudotoon,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,9,9,101,1,1
,,n,1,0.731,,,,,,percopoence,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,10,10,117,1,1
,,n,1,0.645,,,,,,psychocel,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,11,11,84,1,4
,,w,1,0.8202,,,,,,charitable,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,12,12,32,1,5
,,n,1,0.5864,,,,,,huevanly,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,13,13,89,1,9
,,w,1,0.6317,,,,,,market,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,14,14,16,1,133
,,n,1,0.6022,,,,,,eltruostoc,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,15,15,109,1,1
,,n,0,0.5483,,,,,,etcher,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,16,16,40,1,1
,,w,1,0.5653,,,,,,service,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,17,17,15,1,313
,,n,0,0.6216,,,,,,rebuttal,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,18,18,56,1,2
,,w,1,0.8029,,,,,,benign,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,19,19,17,1,1
,,n,1,0.7155,,,,,,eutomobole,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,20,20,65,1,50
,,n,0,1.083,,,,,,elegies,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,21,21,38,1,1
,,n,1,0.5543,,,,,,convovoeloty,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,22,22,99,1,1
,,w,1,0.6669,,,,,,intellectual,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,23,23,51,1,68
,,w,1,0.8837,,,,,,literary,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,24,24,13,1,78
,,w,1,0.7886,,,,,,condolence,word,w,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,25,25,6,1,1
,,n,1,0.6321,,,,,,otchur,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,26,26,100,1,1
,,n,1,0.5843,,,,,,mutephar,nonword,n,,A,f,19,01,2021-10-07_22h25.55.888,WordFreq,2021.1.4,Win32,59.01445854,0,27,27,94,1,5
