ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
w,36.5899,w,1,0.9541,0,0,0,0,1,dog,word,w,S,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,w,1,0.6066,0,1,1,4,1,custard,word,w,S,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,1,0.6625,0,2,2,7,1,imleit,nonword,n,SS,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,w,1,0.5175,0,3,3,1,1,house,word,w,SS,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,1,0.7379,0,4,4,9,1,casterd,nonword,n,SS,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,w,0,0.5675,0,5,5,5,1,deg,nonword,n,SS,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,0,0.6988,0,6,6,2,1,umlaut,word,w,S,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,w,1,0.7313,0,7,7,3,1,doppleganger,word,w,SS,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,1,0.6998,0,8,8,8,1,dipplagungor,nonword,n,S,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,1,0.6486,0,9,9,6,1,haise,nonword,n,S,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,,,,,,
,,n,1,0.7765,,,,,,letarery,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,0,0,73,1,78
,,n,1,0.5842,,,,,,lobertoes,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,1,1,64,1,8
,,n,1,0.5866,,,,,,poctere,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,2,2,85,1,162
,,n,1,0.5677,,,,,,rivurence,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,3,3,79,1,5
,,n,0,0.8669,,,,,,chancels,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,4,4,27,1,1
,,n,1,0.5533,,,,,,froandly,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,5,5,68,1,61
,,n,0,0.5937,,,,,,erudition,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,6,6,41,1,1
,,n,1,0.5527,,,,,,calestoel,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,7,7,90,1,8
,,n,1,0.6877,,,,,,emoceble,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,8,8,112,1,1
,,w,1,0.6028,,,,,,earthly,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,9,9,31,1,6
,,n,1,1.2207,,,,,,convovoeloty,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,10,10,99,1,1
,,n,1,0.8919,,,,,,sporotuel,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,11,11,72,1,64
,,w,1,0.5555,,,,,,market,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,12,12,16,1,133
,,w,1,0.5751,,,,,,debating,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,13,13,37,1,4
,,n,1,0.6428,,,,,,cindalence,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,14,14,66,1,1
,,n,1,0.6198,,,,,,gavirnmunt,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,15,15,104,1,417
,,w,1,0.7198,,,,,,frugality,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,16,16,43,1,2
,,w,1,0.7698,,,,,,poetry,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,17,17,26,1,88
,,n,0,0.5009,,,,,,pedagogue,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,18,18,23,1,1
,,n,1,0.5792,,,,,,peontong,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,19,19,82,1,59
,,w,1,0.6417,,,,,,broker,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,20,20,35,1,1
,,w,1,0.6346,,,,,,picture,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,21,21,25,1,162
,,n,1,0.5797,,,,,,lewyor,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,22,22,61,1,43
,,w,1,0.629,,,,,,orchestra,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,23,23,20,1,60
,,w,1,0.7507,,,,,,friendly,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,24,24,8,1,61
,,n,1,0.6175,,,,,,urchastre,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,25,25,80,1,60
,,n,0,0.5446,,,,,,etcher,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,26,26,40,1,1
,,n,1,0.4436,,,,,,aurthly,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,27,27,91,1,6
,,n,0,0.7342,,,,,,assiduous,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,28,28,0,1,1
,,n,0,0.6843,,,,,,conviviality,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,29,29,39,1,1
,,n,1,0.6341,,,,,,erudotoon,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,30,30,101,1,1
,,w,1,0.8445,,,,,,altruistic,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,31,31,49,1,1
,,w,1,0.7341,,,,,,education,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,32,32,7,1,214
,,n,1,0.6383,,,,,,huspoteloty,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,33,33,105,1,6
,,w,1,0.667,,,,,,inductive,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,34,34,46,1,1
,,w,1,0.574,,,,,,economics,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,35,35,28,1,17
,,w,0,0.7694,,,,,,mundene,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,36,36,110,1,3
,,n,1,0.6272,,,,,,relogoous,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,37,37,81,1,165
,,n,1,0.6509,,,,,,iducetuon,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,38,38,67,1,214
,,n,1,0.801,,,,,,essets,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,39,39,115,1,13
,,n,1,0.718,,,,,,stetostocs,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,40,40,69,1,1
,,n,0,0.7009,,,,,,beatific,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,41,41,14,1,1
,,w,1,0.6176,,,,,,religious,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,42,42,21,1,165
,,w,1,1.0364,,,,,,judiciary,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,43,43,54,1,3
,,n,1,0.6082,,,,,,sampothy,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,44,44,63,1,6
,,w,1,0.7433,,,,,,mundane,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,45,45,50,1,3
,,n,1,0.6848,,,,,,psychocel,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,46,46,84,1,4
,,n,1,0.6218,,,,,,essaduoas,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,47,47,60,1,1
,,n,1,0.584,,,,,,vognette,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,48,48,108,1,2
,,w,1,0.57,,,,,,painting,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,49,49,22,1,59
,,n,1,0.5675,,,,,,padegigue,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,50,50,83,1,1
,,w,1,1.1051,,,,,,reverence,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,51,51,19,1,5
,,w,1,0.6177,,,,,,limousine,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,52,52,10,1,4
,,n,0,0.6564,,,,,,percipience,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,53,53,57,1,1
,,w,1,0.6525,,,,,,initiative,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,54,54,47,1,32
,,n,1,0.57,,,,,,pietry,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,55,55,86,1,88
,,n,1,0.5183,,,,,,unsumble,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,56,56,102,1,11
,,n,1,0.4927,,,,,,cheroteble,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,57,57,92,1,5
,,w,1,0.4972,,,,,,lawyer,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,58,58,1,1,43
,,n,1,0.6249,,,,,,frageloty,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,59,59,103,1,2
,,w,1,0.5732,,,,,,charitable,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,60,60,32,1,5
,,n,0,0.5059,,,,,,celestial,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,61,61,30,1,8
,,w,1,0.6778,,,,,,government,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,62,62,44,1,417
,,w,1,0.692,,,,,,literary,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,63,63,13,1,78
,,w,1,0.7008,,,,,,barrister,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,64,64,11,1,1
,,w,1,0.5523,,,,,,statistics,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,65,65,9,1,1
,,n,1,0.7536,,,,,,servoce,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,66,66,75,1,313
,,n,1,0.5936,,,,,,eutomobole,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,67,67,65,1,50
,,n,0,0.538,,,,,,elegies,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,68,68,38,1,1
,,n,1,0.692,,,,,,debetong,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,69,69,97,1,4
,,n,1,0.7604,,,,,,berroster,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,70,70,71,1,1
,,n,1,0.4588,,,,,,mutephar,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,71,71,94,1,5
,,w,1,0.603,,,,,,spiritual,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,72,72,12,1,64
,,w,1,0.5214,,,,,,savings,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,73,73,18,1,23
,,w,1,0.6175,,,,,,automobile,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,74,74,5,1,50
,,w,1,0.6176,,,,,,sympathy,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,75,75,3,1,6
,,n,1,0.5101,,,,,,ontellectiel,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,76,76,111,1,68
,,w,1,0.5622,,,,,,physics,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,77,77,2,1,22
,,w,1,0.7007,,,,,,condolence,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,78,78,6,1,1
,,n,1,0.6312,,,,,,physocs,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,79,79,62,1,22
,,n,1,0.5485,,,,,,acinamocs,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,80,80,88,1,17
,,n,1,0.469,,,,,,judocoery,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,81,81,114,1,3
,,n,1,0.4392,,,,,,scoentofoc,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,82,82,93,1,86
,,n,1,0.5225,,,,,,benogn,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,83,83,77,1,1
,,w,1,0.6009,,,,,,benign,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,84,84,17,1,1
,,w,1,0.608,,,,,,assets,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,85,85,55,1,13
,,n,1,0.4592,,,,,,chencels,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,86,86,87,1,1
,,w,1,0.6903,,,,,,vignette,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,87,87,48,1,2
,,n,1,0.5178,,,,,,sevongs,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,88,88,78,1,23
,,n,1,0.5439,,,,,,robuttel,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,89,89,116,1,2
,,n,1,0.4385,,,,,,otchur,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,90,90,100,1,1
,,w,1,0.6512,,,,,,metaphor,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,91,91,34,1,5
,,n,0,0.6431,,,,,,rebuttal,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,92,92,56,1,2
,,w,1,0.5903,,,,,,scientific,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,93,93,33,1,86
,,n,1,0.5866,,,,,,eltruostoc,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,94,94,109,1,1
,,n,1,0.7606,,,,,,theostoc,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,95,95,118,1,1
,,w,1,0.5879,,,,,,heavenly,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,96,96,29,1,9
,,n,1,0.7091,,,,,,percopoence,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,97,97,117,1,1
,,n,1,0.5589,,,,,,lomousone,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,98,98,70,1,4
,,n,1,0.5445,,,,,,onotoetove,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,99,99,107,1,32
,,w,1,0.7586,,,,,,psychical,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,100,100,24,1,4
,,w,1,1.4451,,,,,,theistic,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,101,101,58,1,1
,,n,1,0.5222,,,,,,bruker,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,102,102,95,1,1
,,n,1,0.653,,,,,,ancourced,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,103,103,113,1,1
,,n,1,0.4734,,,,,,beetofoc,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,104,104,74,1,1
,,w,1,0.5957,,,,,,hospitality,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,105,105,45,1,6
,,w,1,0.7008,,,,,,liberties,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,106,106,4,1,8
,,n,1,0.5094,,,,,,knuwlidge,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,107,107,119,1,145
,,n,1,0.567,,,,,,alegoes,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,108,108,98,1,1
,,w,1,0.601,,,,,,ensemble,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,109,109,42,1,11
,,n,1,0.4697,,,,,,merket,nonword,n,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,110,110,76,1,133
,,w,1,0.5754,,,,,,churches,word,w,,,F,24,03,2021-10-03_14h25.11.739,WordFreq,2021.1.4,Win32,60.15761295,0,111,111,36,1,96
