ok1.keys,ok1.rt,resp.keys,resp.corr,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,54.334,,0,0,0,0,7,1,imleit,nonword,n,SS,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,,,,,,,
,,w,1,0,1,1,1,1,house,word,w,SS,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,1.177,,,,,,
,,,0,0,2,2,8,1,dipplagungor,nonword,n,S,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,,,,,,,
,,w,1,0,3,3,4,1,custard,word,w,S,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.493,,,,,,
,,n,0,0,4,4,3,1,doppleganger,word,w,SS,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.723,,,,,,
,,w,0,0,5,5,9,1,casterd,nonword,n,SS,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.522,,,,,,
,,n,1,0,6,6,5,1,deg,nonword,n,SS,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.717,,,,,,
,,w,1,0,7,7,2,1,umlaut,word,w,S,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.711,,,,,,
,,w,1,0,8,8,0,1,dog,word,w,S,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.647,,,,,,
,,w,0,0,9,9,6,1,haise,nonword,n,S,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.939,,,,,,
,,n,1,,,,,,rivurence,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.862,0,0,0,79,1,5
,,w,1,,,,,,friendly,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.618,0,1,1,8,1,61
,,n,1,,,,,,froandly,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.807,0,2,2,68,1,61
,,n,1,,,,,,lomousone,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.692,0,3,3,70,1,4
,,w,1,,,,,,mundane,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.712,0,4,4,50,1,3
,,w,1,,,,,,scientific,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.659,0,5,5,33,1,86
,,n,1,,,,,,aurthly,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.67,0,6,6,91,1,6
,,n,1,,,,,,sevongs,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.624,0,7,7,78,1,23
,,w,1,,,,,,frugality,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.715,0,8,8,43,1,2
,,w,1,,,,,,liberties,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.588,0,9,9,4,1,8
,,w,1,,,,,,automobile,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.562,0,10,10,5,1,50
,,w,1,,,,,,intellectual,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.598,0,11,11,51,1,68
,,n,1,,,,,,urchastre,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.594,0,12,12,80,1,60
,,n,0,,,,,,elegies,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.581,0,13,13,38,1,1
,,n,1,,,,,,relogoous,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.641,0,14,14,81,1,165
,,n,1,,,,,,chencels,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.592,0,15,15,87,1,1
,,n,1,,,,,,robuttel,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.557,0,16,16,116,1,2
,,w,0,,,,,,percopoence,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.832,0,17,17,117,1,1
,,w,1,,,,,,vignette,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.527,0,18,18,48,1,2
,,n,1,,,,,,scoentofoc,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.592,0,19,19,93,1,86
,,w,1,,,,,,spiritual,word,w,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.681,0,20,20,12,1,64
,,n,1,,,,,,judocoery,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.596,0,21,21,114,1,3
,,n,1,,,,,,convovoeloty,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.609,0,22,22,99,1,1
,,n,1,,,,,,benogn,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.618,0,23,23,77,1,1
,,n,1,,,,,,essaduoas,nonword,n,,,f,19,03,2021-10-09_00h17.20.538,WordFreq,2021.1.4,MacIntel,58.82352941,0.568,0,24,24,60,1,1
