ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,76.823,w,1,2.783,0,0,0,0,1,dog,word,w,S,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,w,1,0.705,0,1,1,4,1,custard,word,w,S,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,w,0,0.502,0,2,2,7,1,imleit,nonword,n,SS,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,,0,,0,3,3,6,1,haise,nonword,n,S,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,n,0,0.449,0,4,4,1,1,house,word,w,SS,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,n,1,1.684,0,5,5,5,1,deg,nonword,n,SS,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,w,1,0.917,0,6,6,3,1,doppleganger,word,w,SS,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,n,1,1.195,0,7,7,8,1,dipplagungor,nonword,n,S,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,n,1,1.09,0,8,8,9,1,casterd,nonword,n,SS,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,n,0,0.772,0,9,9,2,1,umlaut,word,w,S,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,,,,,,
,,w,0,0.414,,,,,,frageloty,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,0,0,103,1,2
,,n,1,0.707,,,,,,stetostocs,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,1,1,69,1,1
,,n,1,0.62,,,,,,sevongs,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,2,2,78,1,23
,,n,1,0.288,,,,,,huspoteloty,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,3,3,105,1,6
,,n,0,0.291,,,,,,education,word,w,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,4,4,7,1,214
,,n,1,1.01,,,,,,aurthly,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,5,5,91,1,6
,,n,0,0.824,,,,,,pedagogue,word,w,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,6,6,23,1,1
,,n,1,0.723,,,,,,gavirnmunt,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,7,7,104,1,417
,,n,0,0.522,,,,,,orchestra,word,w,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,8,8,20,1,60
,,w,0,0.617,,,,,,eutomobole,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,9,9,65,1,50
,,w,1,0.515,,,,,,economics,word,w,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,10,10,28,1,17
,,w,0,0.695,,,,,,vognette,nonword,n,,Student,f,23,03,2021-10-06_01h24.55.494,WordFreq,2021.1.4,MacIntel,50,0,11,11,108,1,2
