ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,49.7898,w,1,0.7611,0,0,0,3,1,doppleganger,word,w,SS,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,1,1.4666,0,1,1,5,1,deg,nonword,n,SS,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,w,1,0.5641,0,2,2,1,1,house,word,w,SS,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,1,1.9468,0,3,3,8,1,dipplagungor,nonword,n,S,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,1,1.6602,0,4,4,9,1,casterd,nonword,n,SS,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,1,3.7183,0,5,5,6,1,haise,nonword,n,S,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,w,1,0.7353,0,6,6,0,1,dog,word,w,S,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,0,1.0346,0,7,7,2,1,umlaut,word,w,S,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,n,1,1.018,0,8,8,7,1,imleit,nonword,n,SS,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,w,1,0.8178,0,9,9,4,1,custard,word,w,S,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,,,,,,
,,w,1,0.8858,,,,,,intellectual,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,0,0,51,1,68
,,w,1,1.6026,,,,,,uncoerced,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,1,1,53,1,1
,,n,1,0.8405,,,,,,erudotoon,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,2,2,101,1,1
,,w,1,0.696,,,,,,hospitality,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,3,3,45,1,6
,,n,1,0.8452,,,,,,essaduoas,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,4,4,60,1,1
,,n,1,1.5573,,,,,,servoce,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,5,5,75,1,313
,,w,1,1.1527,,,,,,debating,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,6,6,37,1,4
,,n,1,2.2814,,,,,,mundene,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,7,7,110,1,3
,,w,1,1.2191,,,,,,orchestra,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,8,8,20,1,60
,,w,1,1.3013,,,,,,government,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,9,9,44,1,417
,,n,1,0.9227,,,,,,relogoous,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,10,10,81,1,165
,,n,1,0.9016,,,,,,eltruostoc,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,11,11,109,1,1
,,n,1,1.9368,,,,,,frageloty,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,12,12,103,1,2
,,w,1,0.6537,,,,,,friendly,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,13,13,8,1,61
,,w,1,0.7357,,,,,,earthly,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,14,14,31,1,6
,,n,1,0.9513,,,,,,merket,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,15,15,76,1,133
,,n,1,0.9178,,,,,,lewyor,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,16,16,61,1,43
,,n,1,2.4682,,,,,,percopoence,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,17,17,117,1,1
,,n,1,0.8721,,,,,,peontong,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,18,18,82,1,59
,,n,1,1.0855,,,,,,rivurence,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,19,19,79,1,5
,,n,1,1.1198,,,,,,emoceble,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,20,20,112,1,1
,,n,1,1.6293,,,,,,eutomobole,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,21,21,65,1,50
,,w,1,0.7117,,,,,,economics,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,22,22,28,1,17
,,w,1,1.1355,,,,,,literary,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,23,23,13,1,78
,,n,1,1.3524,,,,,,convovoeloty,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,24,24,99,1,1
,,n,1,0.8358,,,,,,physocs,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,25,25,62,1,22
,,w,1,0.6558,,,,,,initiative,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,26,26,47,1,32
,,n,1,1.0679,,,,,,lomousone,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,27,27,70,1,4
,,w,1,0.7782,,,,,,altruistic,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,28,28,49,1,1
,,n,1,1.5979,,,,,,ancourced,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,29,29,113,1,1
,,n,1,0.7679,,,,,,judocoery,nonword,n,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,30,30,114,1,3
,,w,1,0.6304,,,,,,market,word,w,,Tally,female,19,03,2021-10-04_12h49.11.365,WordFreq,2021.1.4,Win32,59.9880024,0,31,31,16,1,133
