ok1.keys,ok1.rt,resp.keys,resp.corr,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
n,30.9554,,0,0,0,0,0,1,dog,word,w,S,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,,,,,,,
,,n,1,0,1,1,8,1,dipplagungor,nonword,n,S,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,1.8498,,,,,,
,,n,0,0,2,2,3,1,doppleganger,word,w,SS,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.5056,,,,,,
,,n,1,0,3,3,9,1,casterd,nonword,n,SS,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,1.1348,,,,,,
,,w,1,0,4,4,1,1,house,word,w,SS,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.6364,,,,,,
,,n,1,0,5,5,5,1,deg,nonword,n,SS,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.6973,,,,,,
,,n,0,0,6,6,2,1,umlaut,word,w,S,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.7535,,,,,,
,,n,1,0,7,7,7,1,imleit,nonword,n,SS,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.682,,,,,,
,,n,1,0,8,8,6,1,haise,nonword,n,S,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.7341,,,,,,
,,n,0,0,9,9,4,1,custard,word,w,S,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.5502,,,,,,
,,n,1,,,,,,servoce,nonword,n,,V,female,19,03,2021-10-03_09h35.21.763,WordFreq,2021.1.4,MacIntel,60.0024001,0.6832,0,0,0,75,1,313
