ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,1971.2405,w,0,2.3339,0,0,0,7,1,imleit,nonword,n,SS,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,w,1,1.333,0,1,1,1,1,house,word,w,SS,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,n,1,0.9339,0,2,2,5,1,deg,nonword,n,SS,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,n,1,1.8662,0,3,3,8,1,dipplagungor,nonword,n,S,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,n,1,0.9677,0,4,4,6,1,haise,nonword,n,S,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,w,0,0.9579,0,5,5,9,1,casterd,nonword,n,SS,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,n,0,2.1285,0,6,6,2,1,umlaut,word,w,S,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,w,1,0.6824,0,7,7,0,1,dog,word,w,S,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,w,1,0.9746,0,8,8,3,1,doppleganger,word,w,SS,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,w,1,0.7978,0,9,9,4,1,custard,word,w,S,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,,,,,,
,,n,1,0.7682,,,,,,knuwlidge,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,0,0,119,1,145
,,n,1,0.7361,,,,,,eutomobole,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,1,1,65,1,50
,,n,0,0.8809,,,,,,conviviality,word,w,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,2,2,39,1,1
,,n,1,0.7902,,,,,,debetong,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,3,3,97,1,4
,,n,1,1.3003,,,,,,frageloty,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,4,4,103,1,2
,,w,0,0.7562,,,,,,froandly,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,5,5,68,1,61
,,n,1,0.8217,,,,,,ontellectiel,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,6,6,111,1,68
,,w,1,1.0081,,,,,,vignette,word,w,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,7,7,48,1,2
,,w,1,0.9305,,,,,,intellectual,word,w,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,8,8,51,1,68
,,n,1,0.7394,,,,,,otchur,nonword,n,,cc,f,21,03,2021-10-04_17h46.53.865,WordFreq,2021.1.4,Win32,59.97001499,0,9,9,100,1,1
