ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
w,56.0937,n,0,2.327,0,0,0,2,1,umlaut,word,w,S,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,n,1,2.9307,0,1,1,8,1,dipplagungor,nonword,n,S,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,w,1,1.2118,0,2,2,4,1,custard,word,w,S,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,n,1,1.2552,0,3,3,7,1,imleit,nonword,n,SS,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,n,1,1.1188,0,4,4,9,1,casterd,nonword,n,SS,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,n,1,0.7548,0,5,5,5,1,deg,nonword,n,SS,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,n,1,0.9694,0,6,6,6,1,haise,nonword,n,S,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,w,1,0.971,0,7,7,1,1,house,word,w,SS,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,w,1,1.1102,0,8,8,3,1,doppleganger,word,w,SS,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,w,1,0.6671,0,9,9,0,1,dog,word,w,S,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,,,,,,
,,w,1,0.6425,,,,,,government,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,0,0,44,1,417
,,w,1,0.696,,,,,,orchestra,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,1,1,20,1,60
,,n,1,0.9294,,,,,,rivurence,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,2,2,79,1,5
,,n,1,1.0343,,,,,,poctere,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,3,3,85,1,162
,,w,1,0.7616,,,,,,heavenly,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,4,4,29,1,9
,,w,1,0.7134,,,,,,mundane,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,5,5,50,1,3
,,n,1,0.8133,,,,,,mundene,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,6,6,110,1,3
,,n,1,0.7462,,,,,,percopoence,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,7,7,117,1,1
,,w,1,0.6291,,,,,,charitable,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,8,8,32,1,5
,,n,0,0.8981,,,,,,etcher,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,9,9,40,1,1
,,w,1,0.9292,,,,,,amicable,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,10,10,52,1,1
,,n,1,0.8006,,,,,,letarery,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,11,11,73,1,78
,,n,1,1.0117,,,,,,lomousone,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,12,12,70,1,4
,,w,1,0.6466,,,,,,debating,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,13,13,37,1,4
,,w,1,0.6799,,,,,,limousine,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,14,14,10,1,4
,,w,1,1.3888,,,,,,lawyer,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,15,15,1,1,43
,,w,1,0.8291,,,,,,hospitality,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,16,16,45,1,6
,,w,1,0.6163,,,,,,broker,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,17,17,35,1,1
,,n,1,0.6972,,,,,,merket,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,18,18,76,1,133
,,w,1,0.6466,,,,,,liberties,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,19,19,4,1,8
,,w,1,1.079,,,,,,benign,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,20,20,17,1,1
,,n,0,1.8304,,,,,,pedagogue,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,21,21,23,1,1
,,n,0,3.4639,,,,,,psychical,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,22,22,24,1,4
,,n,0,1.5297,,,,,,percipience,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,23,23,57,1,1
,,w,1,0.937,,,,,,rebuttal,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,24,24,56,1,2
,,n,1,0.7483,,,,,,peontong,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,25,25,82,1,59
,,n,1,0.8807,,,,,,judocoery,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,26,26,114,1,3
,,w,1,0.787,,,,,,automobile,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,27,27,5,1,50
,,n,1,0.7111,,,,,,froandly,nonword,n,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,28,28,68,1,61
,,w,1,0.7469,,,,,,altruistic,word,w,,eg,m,19,1,2021-10-08_23h28.07.385,WordFreq,2021.1.4,Win32,59.91611744,0,29,29,49,1,1
