ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,strings,word_nonword,corrans,font,participant,gender (m/f),age,session,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,freq
space,71.513,w,1,3.232,0,0,0,4,1,custard,word,w,S,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,0,0.038,0,1,1,5,1,deg,nonword,n,SS,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,0,0.001,0,2,2,8,1,dipplagungor,nonword,n,S,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,1,4.982,0,3,3,3,1,doppleganger,word,w,SS,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,0,2.536,0,4,4,9,1,casterd,nonword,n,SS,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,1,1.186,0,5,5,0,1,dog,word,w,S,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,1,1.411,0,6,6,1,1,house,word,w,SS,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,1,4.588,0,7,7,2,1,umlaut,word,w,S,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,n,1,2.548,0,8,8,7,1,imleit,nonword,n,SS,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,w,0,2.59,0,9,9,6,1,haise,nonword,n,S,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,,,,,,
,,n,1,2.284,,,,,,pietry,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,0,0,86,1,88
,,n,1,3.405,,,,,,mutephar,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,1,1,94,1,5
,,w,1,1.508,,,,,,savings,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,2,2,18,1,23
,,n,0,3.829,,,,,,assiduous,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,3,3,0,1,1
,,w,1,1.304,,,,,,debating,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,4,4,37,1,4
,,n,1,2.067,,,,,,psychocel,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,5,5,84,1,4
,,n,0,1.575,,,,,,elegies,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,6,6,38,1,1
,,w,1,3.114,,,,,,scientific,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,7,7,33,1,86
,,n,1,1.675,,,,,,physocs,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,8,8,62,1,22
,,w,1,1.441,,,,,,education,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,9,9,7,1,214
,,w,1,2.22,,,,,,limousine,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,10,10,10,1,4
,,w,1,1.859,,,,,,psychical,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,11,11,24,1,4
,,n,1,1.857,,,,,,ontellectiel,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,12,12,111,1,68
,,w,0,1.579,,,,,,poctere,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,13,13,85,1,162
,,w,1,3.23,,,,,,altruistic,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,14,14,49,1,1
,,w,1,1.259,,,,,,government,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,15,15,44,1,417
,,w,0,4.096,,,,,,robuttel,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,16,16,116,1,2
,,n,1,4.983,,,,,,unsumble,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,17,17,102,1,11
,,w,1,1.372,,,,,,condolence,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,18,18,6,1,1
,,,0,,,,,,,calestoel,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,19,19,90,1,8
,,,0,,,,,,,urchastre,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,20,20,80,1,60
,,w,0,1.584,,,,,,letarery,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,21,21,73,1,78
,,n,1,1.692,,,,,,beetofoc,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,22,22,74,1,1
,,,0,,,,,,,percopoence,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,23,23,117,1,1
,,n,1,1.633,,,,,,lewyor,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,24,24,61,1,43
,,,0,,,,,,,eltruostoc,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,25,25,109,1,1
,,w,1,1.246,,,,,,theistic,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,26,26,58,1,1
,,w,1,1.203,,,,,,metaphor,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,27,27,34,1,5
,,n,0,1.999,,,,,,erudition,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,28,28,41,1,1
,,n,1,1.508,,,,,,sevongs,nonword,n,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,29,29,78,1,23
,,w,1,1.087,,,,,,churches,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,30,30,36,1,96
,,w,1,1.215,,,,,,physics,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,31,31,2,1,22
,,w,1,1.059,,,,,,economics,word,w,,sal,f,19,03,2021-10-08_22h22.04.757,WordFreq,2021.1.4,MacIntel,62.5,0,32,32,28,1,17
